Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Latitude,Longitude
2017,1,1,0,30,3.3,0,0,0,0,-22.9,0,0,0,0,0.275,12.59,165.9,0.28,871,0.3,86,1.5,30.97,66.42
2017,1,1,1,30,3.1,0,0,0,1,-23,0,0,0,0,0.273,12.67,153.82,0.28,871,0.3,88,1.4,,
2017,1,1,2,30,3.2,0,0,0,1,-23.1,0,0,0,0,0.272,12.54,141.03,0.28,871,0.3,91,1.4,,
2017,1,1,3,30,3.2,0,0,0,1,-23.1,0,0,0,0,0.272,12.52,128.2,0.28,870,0.3,93,1.4,,
2017,1,1,4,30,7.1,0,0,0,0,-9.7,0,0,0,0,0.239,29.14,115.54,0.28,873,1,110,1.4,,
2017,1,1,5,30,7.2,0,0,0,0,-9.8,0,0,0,0,0.24,28.78,103.17,0.28,873,1,114,1.4,,
2017,1,1,6,30,8.3,0,0,0,0,-9.8,0,0,0,0,0.24,26.62,91.31,0.28,874,1,121,1.2,,
2017,1,1,7,30,11.2,52,500,138,0,-9.2,52,500,0,138,0.24,22.91,80.13,0.28,874,1.1,126,1.4,,
2017,1,1,8,30,14.7,77,733,325,0,-9.2,77,733,0,325,0.241,18.29,70.22,0.28,874,1.1,218,1.2,,
2017,1,1,9,30,17.5,91,837,484,0,-8.5,91,837,1,484,0.241,16.11,62.02,0.28,874,1.1,306,1.6,,
2017,1,1,10,30,19.2,100,885,590,0,-7.4,100,885,0,590,0.24,15.81,56.33,0.28,874,1.1,303,2.9,,
2017,1,1,11,30,19.9,103,900,633,0,-6.9,103,900,0,633,0.24,15.73,53.96,0.28,873,1.1,301,3.5,,
2017,1,1,12,30,20,101,886,605,0,-6.7,101,886,0,605,0.239,15.89,55.35,0.28,872,1.2,298,3.7,,
2017,1,1,13,30,19.7,105,814,509,3,-6.5,204,381,0,393,0.238,16.4,60.23,0.28,872,1.2,296,3.9,,
2017,1,1,14,30,18.5,95,702,360,3,-6.4,165,140,0,218,0.238,17.82,67.85,0.28,872,1.3,298,3.4,,
2017,1,1,15,30,15.9,72,480,177,3,-5.7,85,57,3,98,0.238,22.16,77.37,0.28,872,1.4,305,2,,
2017,1,1,16,30,13.8,16,54,17,7,-5.3,16,54,5,17,0.239,26.13,88.02,0.28,873,1.4,313,1.3,,
2017,1,1,17,30,13.4,0,0,0,7,-5.6,0,0,0,0,0.24,26.34,99.97,0.28,873,1.4,322,1.1,,
2017,1,1,18,30,13.6,0,0,0,7,-5.8,0,0,0,0,0.24,25.61,112.22,0.28,873,1.4,338,0.7,,
2017,1,1,19,30,13.5,0,0,0,7,-6,0,0,0,0,0.24,25.4,124.83,0.28,873,1.4,222,0.5,,
2017,1,1,20,30,12.9,0,0,0,7,-6.2,0,0,0,0,0.239,25.95,137.64,0.28,873,1.4,109,0.6,,
2017,1,1,21,30,11.9,0,0,0,0,-6.3,0,0,0,0,0.239,27.41,150.46,0.28,873,1.4,127,1,,
2017,1,1,22,30,10.9,0,0,0,0,-6.3,0,0,0,0,0.239,29.25,162.85,0.28,873,1.4,130,1.2,,
2017,1,1,23,30,10.2,0,0,0,0,-6.4,0,0,0,0,0.239,30.64,171.76,0.28,872,1.4,135,1.3,,
2017,1,2,0,30,9.6,0,0,0,0,-6.3,0,0,0,0,0.239,31.99,165.94,0.28,872,1.3,138,1.5,,
2017,1,2,1,30,9,0,0,0,0,-6.3,0,0,0,0,0.239,33.35,153.9,0.28,872,1.3,138,1.6,,
2017,1,2,2,30,8.6,0,0,0,0,-6.3,0,0,0,0,0.24,34.28,141.12,0.28,872,1.3,137,1.7,,
2017,1,2,3,30,8.4,0,0,0,0,-6.2,0,0,0,0,0.24,34.88,128.28,0.28,872,1.3,136,1.7,,
2017,1,2,4,30,7.9,0,0,0,0,-6.2,0,0,0,0,0.24,36.29,115.6,0.28,872,1.3,137,1.8,,
