Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Pressure,Temperature,Wind Speed,GHI,Wind Direction,Latitude,Longitude
2009,1,1,0,30,0,0,-7,9720,-1,0.1,0,8.8,37.15,68.55
2009,1,1,1,30,0,0,-7,9720,-1,0.1,0,9.2,,
2009,1,1,2,30,0,0,-7,9710,-1,0.1,0,9.8,,
2009,1,1,3,30,0,0,-7,9710,-1,0.1,0,10.2,,
2009,1,1,4,30,0,0,-6,9640,5,0,0,9.1,,
2009,1,1,5,30,0,0,-6,9640,5,0,0,10.3,,
2009,1,1,6,30,0,0,-7,9640,5,0,0,12,,
2009,1,1,7,30,9,0,-5,9640,7,0,9,12.3,,
2009,1,1,8,30,88,28,0,9640,10,0,94,10.8,,
2009,1,1,9,30,177,93,-4,9640,14,0,210,8.5,,
2009,1,1,10,30,241,115,-4,9630,16,0,292,3.7,,
2009,1,1,11,30,264,91,-4,9620,17,0.1,309,2.5,,
2009,1,1,12,30,250,112,-5,9610,17,0.2,306,2.6,,
2009,1,1,13,30,210,368,-5,9600,17,0.2,373,2.9,,
2009,1,1,14,30,164,339,-3,9590,16,0.2,282,3.3,,
2009,1,1,15,30,90,50,-2,9580,14,0.3,101,4.2,,
2009,1,1,16,30,4,0,-3,9580,13,0.3,4,5,,
2009,1,1,17,30,0,0,-4,9570,13,0.3,0,5.9,,
2009,1,1,18,30,0,0,-3,9570,12,0.2,0,6.9,,
2009,1,1,19,30,0,0,-3,9560,12,0.1,0,7.9,,
2009,1,1,20,30,0,0,-2,9560,12,0.1,0,10.7,,
2009,1,1,21,30,0,0,-4,9550,11,0.1,0,15.1,,
2009,1,1,22,30,0,0,-3,9550,11,0.2,0,17.3,,
2009,1,1,23,30,0,0,-4,9540,10,0.2,0,17.8,,
2009,1,2,0,30,0,0,-3,9540,10,0.3,0,18.2,,
2009,1,2,1,30,0,0,-3,9550,10,0.3,0,18.7,,
2009,1,2,2,30,0,0,-2,9550,9,0.2,0,18.9,,
2009,1,2,3,30,0,0,-3,9550,9,0.2,0,18.8,,
2009,1,2,4,30,0,0,-2,9550,9,0.2,0,18.5,,
2009,1,2,5,30,0,0,-3,9550,9,0.2,0,18.4,,
2009,1,2,6,30,0,0,-2,9560,10,0.2,0,18.5,,
2009,1,2,7,30,9,0,-2,9560,11,0.2,9,19,,
2009,1,2,8,30,59,0,0,9550,13,0.2,59,19.4,,
2009,1,2,9,30,77,0,0,9550,15,0.1,77,20,,
2009,1,2,10,30,87,0,0,9540,18,0.1,87,22.5,,
2009,1,2,11,30,96,0,0,9530,19,0.1,96,28.1,,
2009,1,2,12,30,133,0,0,9520,20,0.1,133,31.6,,
2009,1,2,13,30,138,0,0,9520,19,0.2,138,33.9,,
2009,1,2,14,30,194,161,0,9540,17,0.3,250,35.4,,
2009,1,2,15,30,70,0,1,9540,15,0.4,70,0.4,,
2009,1,2,16,30,4,0,2,9560,13,0.3,4,1.2,,
2009,1,2,17,30,0,0,3,9570,12,0.2,0,2.7,,
2009,1,2,18,30,0,0,4,9580,12,0.2,0,4.6,,
2009,1,2,19,30,0,0,4,9580,11,0.1,0,5.2,,
2009,1,2,20,30,0,0,4,9570,10,0,0,35.1,,
2009,1,2,21,30,0,0,5,9580,10,0.1,0,29.6,,
2009,1,2,22,30,0,0,5,9580,9,0.2,0,29.5,,
2009,1,2,23,30,0,0,5,9580,8,0.2,0,29.7,,
2009,1,3,0,30,0,0,5,9580,8,0.2,0,29.9,,
2009,1,3,1,30,0,0,5,9590,7,0.2,0,29.5,,
2009,1,3,2,30,0,0,5,9600,6,0.3,0,28.5,,
2009,1,3,3,30,0,0,3,9610,5,0.4,0,27.6,,
