Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Pressure,Temperature,Wind Speed,GHI,Wind Direction,Latitude,Longitude
2014,1,1,0,30,0,0,-3,9750,2,0.3,0,25.8,37.25,67.45
2014,1,1,1,30,0,0,-4,9750,1,0.3,0,25.7,,
2014,1,1,2,30,0,0,-4,9750,1,0.3,0,25.4,,
2014,1,1,3,30,0,0,-3,9750,0,0.3,0,24.9,,
2014,1,1,4,30,0,0,-3,9740,0,0.3,0,24.3,,
2014,1,1,5,30,0,0,-8,9730,-2,0.4,0,8.7,,
2014,1,1,6,30,0,0,-8,9730,-2,0.4,0,8.6,,
2014,1,1,7,30,0,0,-9,9730,-2,0.4,0,8.4,,
2014,1,1,8,30,4,0,-8,9740,-1,0.3,4,8.1,,
2014,1,1,9,30,90,285,-9,9740,2,0.3,148,7.8,,
2014,1,1,10,30,134,465,-8,9740,4,0.3,291,7.5,,
2014,1,1,11,30,159,542,-8,9740,7,0.3,396,7.4,,
2014,1,1,12,30,178,547,-8,9730,8,0.3,446,7.3,,
2014,1,1,13,30,179,550,-8,9720,9,0.3,450,7.2,,
2014,1,1,14,30,176,516,-8,9720,8,0.3,406,7.5,,
2014,1,1,15,30,155,357,-8,9720,7,0.3,281,7.8,,
2014,1,1,16,30,99,239,-7,9710,4,0.4,152,8.1,,
2014,1,1,17,30,5,0,-8,9710,2,0.4,5,8.6,,
2014,1,1,18,30,0,0,-8,9710,2,0.4,0,9,,
2014,1,1,19,30,0,0,-9,9710,2,0.4,0,9.2,,
2014,1,1,20,30,0,0,-9,9710,2,0.4,0,8.8,,
2014,1,1,21,30,0,0,-9,9710,2,0.4,0,8.2,,
2014,1,1,22,30,0,0,-9,9710,1,0.4,0,7.7,,
2014,1,1,23,30,0,0,-9,9710,1,0.4,0,7.3,,
2014,1,2,0,30,0,0,-9,9700,1,0.4,0,7.1,,
2014,1,2,1,30,0,0,-10,9700,1,0.4,0,7,,
2014,1,2,2,30,0,0,-10,9700,1,0.4,0,7.3,,
2014,1,2,3,30,0,0,-10,9690,1,0.4,0,7.6,,
2014,1,2,4,30,0,0,-10,9690,1,0.3,0,7.6,,
2014,1,2,5,30,0,0,-10,9690,1,0.3,0,7.5,,
2014,1,2,6,30,0,0,-10,9700,1,0.3,0,7.5,,
2014,1,2,7,30,0,0,-10,9700,1,0.2,0,7.6,,
2014,1,2,8,30,3,0,-10,9700,3,0.1,3,7.6,,
2014,1,2,9,30,90,250,-5,9710,5,0.1,141,7.9,,
2014,1,2,10,30,136,441,-8,9720,7,0,285,10.8,,
2014,1,2,11,30,159,547,-8,9720,9,0,398,19.4,,
2014,1,2,12,30,177,553,-6,9710,10,0,448,22.7,,
2014,1,2,13,30,190,513,-5,9710,9,0,443,24.6,,
2014,1,2,14,30,162,554,-4,9700,9,0,410,24.6,,
2014,1,2,15,30,145,419,-3,9700,9,0,294,24.6,,
2014,1,2,16,30,105,268,-5,9700,6,0,165,24.3,,
2014,1,2,17,30,10,0,-7,9700,4,0.1,10,23.8,,
2014,1,2,18,30,0,0,-9,9700,4,0.1,0,24,,
2014,1,2,19,30,0,0,-9,9700,4,0.2,0,24.6,,
2014,1,2,20,30,0,0,-8,9700,4,0.3,0,25.3,,
2014,1,2,21,30,0,0,-8,9710,3,0.3,0,25.5,,
2014,1,2,22,30,0,0,-8,9710,3,0.4,0,25.4,,
2014,1,2,23,30,0,0,-8,9710,2,0.4,0,25,,
2014,1,3,0,30,0,0,-8,9710,2,0.4,0,24.6,,
2014,1,3,1,30,0,0,-8,9710,1,0.4,0,23.9,,
2014,1,3,2,30,0,0,-8,9710,1,0.4,0,23.2,,
2014,1,3,3,30,0,0,-7,9710,1,0.4,0,23,,
2014,1,3,4,30,0,0,-7,9710,1,0.4,0,23.4,,
2014,1,3,5,30,0,0,-7,9710,0,0.4,0,24.2,,
2014,1,3,6,30,0,0,-6,9710,0,0.4,0,24.8,,
2014,1,3,7,30,0,0,-6,9720,0,0.4,0,25,,
2014,1,3,8,30,3,0,-6,9730,1,0.4,3,24.7,,
2014,1,3,9,30,91,74,-5,9740,2,0.4,106,24.2,,
2014,1,3,10,30,141,20,-5,9740,2,0.4,148,23.9,,
2014,1,3,11,30,200,39,-5,9740,3,0.4,218,23.6,,
2014,1,3,12,30,249,119,-5,9730,4,0.3,308,23.3,,
2014,1,3,13,30,242,311,-5,9720,4,0.2,396,22.9,,
2014,1,3,14,30,182,470,-4,9720,4,0.1,393,22,,
2014,1,3,15,30,145,427,-4,9720,4,0.1,298,18.5,,
2014,1,3,16,30,101,262,-3,9720,2,0.1,160,13,,
2014,1,3,17,30,8,0,-5,9720,0,0.1,8,10.8,,
2014,1,3,18,30,0,0,-5,9720,0,0.2,0,9.8,,
2014,1,3,19,30,0,0,-4,9720,0,0.2,0,9.1,,
2014,1,3,20,30,0,0,-4,9720,-1,0.2,0,8.5,,
2014,1,3,21,30,0,0,-4,9720,-1,0.2,0,7.6,,
2014,1,3,22,30,0,0,-3,9720,-1,0.1,0,6.2,,
2014,1,3,23,30,0,0,-3,9720,0,0.1,0,4.9,,
2014,1,4,0,30,0,0,-3,9710,0,0,0,4.4,,
2014,1,4,1,30,0,0,-3,9710,0,0,0,5.4,,
2014,1,4,2,30,0,0,-3,9710,0,0,0,8.6,,
2014,1,4,3,30,0,0,-3,9710,0,0,0,24.6,,
2014,1,4,4,30,0,0,-3,9710,-1,0,0,24.9,,
2014,1,4,5,30,0,0,-3,9710,-1,0.1,0,24.5,,
2014,1,4,6,30,0,0,-4,9720,-1,0.2,0,23.9,,
2014,1,4,7,30,0,0,-4,9720,-1,0.2,0,23.4,,
2014,1,4,8,30,3,0,-4,9730,0,0.3,3,23.2,,
2014,1,4,9,30,81,20,-4,9730,2,0.3,86,23.2,,
2014,1,4,10,30,159,90,-4,9730,4,0.3,190,24,,
2014,1,4,11,30,177,15,-4,9730,6,0.3,184,25.1,,
2014,1,4,12,30,233,27,-4,9730,7,0.3,247,26.2,,
2014,1,4,13,30,257,84,-4,9720,7,0.2,299,27,,
2014,1,4,14,30,216,52,-5,9720,7,0.2,240,26.7,,
2014,1,4,15,30,141,8,-5,9720,6,0.2,144,25.8,,
2014,1,4,16,30,77,0,-4,9720,4,0.2,77,24.4,,
2014,1,4,17,30,6,0,-4,9730,2,0.2,6,23.6,,
2014,1,4,18,30,0,0,-4,9730,2,0.3,0,23.4,,
2014,1,4,19,30,0,0,-4,9730,2,0.3,0,23.4,,
2014,1,4,20,30,0,0,-4,9730,1,0.3,0,23.8,,
2014,1,4,21,30,0,0,-4,9730,0,0.3,0,24.2,,
2014,1,4,22,30,0,0,-5,9730,0,0.3,0,24.6,,
2014,1,4,23,30,0,0,-5,9730,0,0.3,0,24.9,,
2014,1,5,0,30,0,0,-5,9730,0,0.3,0,24.8,,
2014,1,5,1,30,0,0,-5,9740,-1,0.3,0,24.4,,
2014,1,5,2,30,0,0,-5,9740,-1,0.3,0,23.9,,
2014,1,5,3,30,0,0,-4,9740,-1,0.3,0,23.5,,
2014,1,5,4,30,0,0,-4,9740,-1,0.3,0,23.2,,
2014,1,5,5,30,0,0,-4,9740,-1,0.3,0,23.1,,
2014,1,5,6,30,0,0,-4,9740,-1,0.3,0,23,,
2014,1,5,7,30,0,0,-4,9750,-1,0.3,0,22.9,,
2014,1,5,8,30,3,0,-4,9750,-1,0.3,3,23.2,,
2014,1,5,9,30,89,84,-3,9750,2,0.2,106,23.9,,
2014,1,5,10,30,161,394,-3,9750,4,0.2,295,24.6,,
2014,1,5,11,30,158,556,-3,9750,6,0.2,403,25.4,,
2014,1,5,12,30,194,528,-3,9740,7,0.2,455,26.3,,
2014,1,5,13,30,240,347,-3,9740,7,0.2,413,27.1,,
2014,1,5,14,30,215,256,-3,9740,7,0.1,331,28.1,,
2014,1,5,15,30,185,107,-3,9740,6,0.1,224,28.8,,
2014,1,5,16,30,105,52,-3,9740,4,0.1,117,28.1,,
2014,1,5,17,30,6,0,-4,9740,2,0.1,6,25.9,,
2014,1,5,18,30,0,0,-4,9740,1,0.1,0,23.9,,
2014,1,5,19,30,0,0,-4,9750,1,0.2,0,22.9,,
2014,1,5,20,30,0,0,-4,9750,1,0.2,0,22.6,,
2014,1,5,21,30,0,0,-4,9740,0,0.2,0,22.8,,
2014,1,5,22,30,0,0,-4,9740,0,0.3,0,23.3,,
2014,1,5,23,30,0,0,-4,9740,0,0.3,0,23.8,,
2014,1,6,0,30,0,0,-4,9740,0,0.3,0,24.3,,
2014,1,6,1,30,0,0,-5,9740,0,0.2,0,24.4,,
2014,1,6,2,30,0,0,-4,9740,0,0.2,0,23.4,,
2014,1,6,3,30,0,0,-4,9740,0,0.1,0,21,,
2014,1,6,4,30,0,0,-3,9740,0,0.1,0,17,,
