Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Latitude,Longitude
2017,1,1,0,30,5.6,0,0,0,0,-11.4,0,0,0,0,0.302,28.22,162.49,0.28,987,0.4,196,0.7,37.21,65.26
2017,1,1,1,30,5,0,0,0,0,-11.5,0,0,0,0,0.301,29.25,152.87,0.28,987,0.4,202,0.8,,
2017,1,1,2,30,4.5,0,0,0,0,-11.6,0,0,0,0,0.3,30.05,141.43,0.28,987,0.4,220,0.8,,
2017,1,1,3,30,4.2,0,0,0,0,-11.7,0,0,0,0,0.3,30.36,129.53,0.28,987,0.4,233,0.9,,
2017,1,1,4,30,4.1,0,0,0,4,-0.8,0,0,0,0,0.269,70.63,117.65,0.27,991,1.3,337,0.9,,
2017,1,1,5,30,3.6,0,0,0,4,-0.8,0,0,0,0,0.271,72.93,106.02,0.27,991,1.3,329,0.9,,
2017,1,1,6,30,3.6,0,0,0,4,-0.8,0,0,0,0,0.273,72.68,94.89,0.27,991,1.3,326,0.9,,
2017,1,1,7,30,5.2,43,97,52,4,-0.8,16,0,3,16,0.277,65.08,84.38,0.27,991,1.3,329,1.2,,
2017,1,1,8,30,7.6,105,367,199,1,-0.7,105,367,0,199,0.282,55.58,75.27,0.27,991,1.3,339,1.3,,
2017,1,1,9,30,10.3,137,531,338,4,-0.7,84,0,1,84,0.286,46.29,67.76,0.27,990,1.3,206,1.3,,
2017,1,1,10,30,13.1,160,591,432,1,-0.5,160,591,0,432,0.288,39.03,62.53,0.27,989,1.3,75,1.8,,
2017,1,1,11,30,15,164,629,476,1,-0.4,164,629,0,476,0.287,34.95,60.23,0.27,988,1.3,84,2.2,,
2017,1,1,12,30,15.9,159,625,461,1,-0.2,159,625,0,461,0.285,33.36,61.18,0.27,987,1.2,83,2.3,,
2017,1,1,13,30,16.2,131,627,393,2,-0.2,98,0,3,98,0.284,32.85,65.24,0.27,986,1.2,84,2.3,,
2017,1,1,14,30,15.1,109,515,269,2,0,62,0,3,62,0.283,35.57,71.87,0.27,986,1.2,88,1.6,,
2017,1,1,15,30,13,68,290,117,0,0.8,68,290,0,117,0.283,43.17,80.4,0.27,986,1.3,92,1,,
2017,1,1,16,30,11.6,0,0,0,7,0,0,0,0,0,0.283,44.67,89.89,0.27,986,1.3,97,1,,
2017,1,1,17,30,10.8,0,0,0,0,0,0,0,0,0,0.284,47.12,101.27,0.27,986,1.3,104,1.1,,
2017,1,1,18,30,10,0,0,0,0,0,0,0,0,0,0.286,49.98,112.72,0.27,986,1.4,113,1.1,,
2017,1,1,19,30,9.2,0,0,0,0,0.1,0,0,0,0,0.288,53.08,124.52,0.27,986,1.4,123,1.2,,
2017,1,1,20,30,8.8,0,0,0,0,0.2,0,0,0,0,0.289,54.94,136.45,0.27,986,1.4,126,1.2,,
2017,1,1,21,30,8.4,0,0,0,4,0.3,0,0,0,0,0.289,56.78,148.16,0.27,985,1.3,116,1.2,,
2017,1,1,22,30,8,0,0,0,7,0.4,0,0,0,0,0.287,58.73,158.82,0.27,984,1.3,96,1.2,,
2017,1,1,23,30,7.2,0,0,0,7,0.5,0,0,0,0,0.284,62.55,165.46,0.27,984,1.3,79,1.3,,
2017,1,2,0,30,6.5,0,0,0,3,0.6,0,0,0,0,0.281,66.1,162.48,0.27,983,1.3,76,1.4,,
2017,1,2,1,30,6.2,0,0,0,7,0.7,0,0,0,0,0.277,67.84,152.91,0.27,983,1.3,79,1.5,,
2017,1,2,2,30,6.4,0,0,0,0,0.7,0,0,0,0,0.275,66.93,141.49,0.27,983,1.3,80,1.4,,
2017,1,2,3,30,6.6,0,0,0,3,0.7,0,0,0,0,0.275,65.93,129.59,0.27,983,1.4,80,1.3,,
2017,1,2,4,30,6.6,0,0,0,4,0.6,0,0,0,0,0.278,65.52,117.7,0.27,983,1.6,276,1.1,,
2017,1,2,5,30,6.4,0,0,0,4,0.6,0,0,0,0,0.282,66.23,106.06,0.27,984,1.8,275,1.1,,
2017,1,2,6,30,6.7,0,0,0,4,0.8,0,0,0,0,0.285,65.85,94.92,0.27,985,1.9,273,1.1,,
2017,1,2,7,30,8,43,108,54,4,1.4,5,0,3,5,0.287,62.93,84.4,0.27,985,2,268,1.2,,
2017,1,2,8,30,9.8,105,362,197,7,2.2,10,0,3,10,0.289,59.3,75.26,0.27,985,2,264,1.2,,
2017,1,2,9,30,11.7,133,529,333,7,2.8,45,0,0,45,0.29,54.3,67.73,0.27,985,2,262,1.1,,
2017,1,2,10,30,14.1,144,623,432,4,3.3,38,0,0,38,0.291,48.04,62.48,0.27,984,2,266,1.5,,
2017,1,2,11,30,16.3,149,658,476,4,3.9,175,10,0,180,0.291,43.5,60.15,0.27,983,2,276,1.9,,
2017,1,2,12,30,17.2,149,642,459,7,4.2,159,2,3,160,0.291,42.14,61.07,0.27,983,2,291,2.6,,
2017,1,2,13,30,17,138,589,386,4,4.3,179,76,3,211,0.291,43.05,65.12,0.27,983,1.9,304,3.2,,
2017,1,2,14,30,15.7,110,495,265,4,4.4,123,40,3,135,0.291,47.1,71.74,0.27,983,1.9,315,3.4,,
2017,1,2,15,30,13,68,295,118,3,4.7,55,0,3,55,0.291,57.25,80.27,0.27,984,1.8,326,3.5,,
2017,1,2,16,30,10.4,0,0,0,4,5.1,0,0,0,0,0.29,69.67,89.77,0.27,986,1.9,334,4,,
2017,1,2,17,30,8.8,0,0,0,4,5.2,0,0,0,0,0.29,78.18,101.12,0.27,987,1.9,338,4.3,,
2017,1,2,18,30,7.7,0,0,0,4,4.5,0,0,0,0,0.289,80.45,112.58,0.27,988,1.9,342,3.6,,
2017,1,2,19,30,7.1,0,0,0,4,3.4,0,0,0,0,0.287,77.45,124.38,0.27,989,1.9,345,2.9,,
