Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2883805,-,-,-,37.21,65.26,4,260,4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,30,3.1,0,0,0,7,0.5,0,0,0,0,0.385,82.88,162.49,0.28,984,1.1,101,1.8
2019,1,1,1,30,3.1,0,0,0,4,0.5,0,0,0,0,0.387,82.97,152.85,0.28,984,1.1,102,1.7000000000000002
2019,1,1,2,30,3.1,0,0,0,4,0.4,0,0,0,0,0.389,82.73,141.4,0.28,984,1.2000000000000002,102,1.4000000000000001
2019,1,1,3,30,3.2,0,0,0,7,0.4,0,0,0,0,0.39,81.66,129.5,0.28,984,1.2000000000000002,102,1.3
2019,1,1,4,30,4.3,0,0,0,7,1.5,0,0,0,0,0.319,82.3,117.62,0.27,989,1.8,279,3.1
2019,1,1,5,30,4,0,0,0,6,1.5,0,0,0,0,0.32,84.01,106,0.27,989,1.8,271,3
2019,1,1,6,30,3.9000000000000004,0,0,0,6,1.7000000000000002,0,0,0,0,0.32,85.33,94.87,0.27,990,1.8,268,3.2
2019,1,1,7,30,4.4,43,48,47,6,1.9000000000000001,7,0,3,7,0.319,83.58,84.37,0.27,991,1.8,270,3.6
2019,1,1,8,30,5.5,126,239,187,6,2.1,14,0,3,14,0.319,78.95,75.26,0.27,991,1.8,275,4
2019,1,1,9,30,6.4,178,372,318,6,2.5,19,0,0,19,0.319,76.38,67.77,0.27,991,1.8,281,4.2
