Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2883805,-,-,-,37.21,65.26,4,260,4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,0,30,6.300000000000001,0,0,0,7,1.9000000000000001,0,0,0,0,0.309,73.46000000000001,162.49,0.28,988,1.7000000000000002,306,2.8000000000000003
2018,1,1,1,30,5.9,0,0,0,7,1.8,0,0,0,0,0.312,75.06,152.86,0.28,988,1.7000000000000002,306,3.1
2018,1,1,2,30,5.4,0,0,0,7,1.7000000000000002,0,0,0,0,0.314,77.11,141.41,0.28,988,1.8,302,3.3000000000000003
2018,1,1,3,30,5.1000000000000005,0,0,0,6,1.6,0,0,0,0,0.315,78.14,129.51,0.28,988,1.8,298,3.3000000000000003
2018,1,1,4,30,3.5,0,0,0,0,-11.9,0,0,0,0,0.299,31.37,117.64,0.27,987,0.4,248,1
2018,1,1,5,30,3,0,0,0,0,-12.200000000000001,0,0,0,0,0.299,31.82,106.01,0.27,988,0.4,246,1.1
2018,1,1,6,30,2.9000000000000004,0,0,0,0,-12.5,0,0,0,0,0.297,31.3,94.88,0.27,988,0.4,240,1.1
2018,1,1,7,30,4.6000000000000005,32,433,74,0,-12.5,32,433,0,74,0.294,27.62,84.38,0.27,988,0.4,238,1.2000000000000002
2018,1,1,8,30,7.5,57,731,243,0,-11.3,57,731,0,243,0.292,24.92,75.27,0.27,988,0.4,240,1.5
2018,1,1,9,30,10.3,70,853,393,1,-12.200000000000001,70,853,0,393,0.291,19.31,67.76,0.27,988,0.4,231,1.4000000000000001
2018,1,1,10,30,12.600000000000001,91,861,488,0,-11.8,91,861,0,488,0.29,17.01,62.550000000000004,0.27,988,0.4,205,1
2018,1,1,11,30,14.5,94,884,533,0,-11.600000000000001,94,884,0,533,0.28800000000000003,15.35,60.25,0.27,987,0.4,165,1
2018,1,1,12,30,15.8,93,876,514,0,-11.5,93,876,0,514,0.28700000000000003,14.21,61.21,0.27,986,0.4,119,1.3
2018,1,1,13,30,16.1,81,854,438,0,-11.4,81,854,0,438,0.28600000000000003,14.08,65.27,0.27,986,0.4,92,1.7000000000000002
2018,1,1,14,30,14.3,70,759,306,1,-10.9,70,759,0,306,0.28500000000000003,16.39,71.91,0.27,985,0.4,83,1.5
