Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2856897,-,-,-,29.45,64.02,4,1558,4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,30,2,0,0,0,0,-5.9,0,0,0,0,0.315,55.95,168.44,0.18,849,0.6000000000000001,160,2.3000000000000003
2019,1,1,1,30,1.6,0,0,0,0,-6.1000000000000005,0,0,0,0,0.32,56.64,156.09,0.18,849,0.6000000000000001,159,2.9000000000000004
2019,1,1,2,30,1.3,0,0,0,0,-6.2,0,0,0,0,0.324,57.34,143.08,0.18,848,0.6000000000000001,159,3.5
2019,1,1,3,30,1.2000000000000002,0,0,0,0,-5.7,0,0,0,0,0.326,60.19,130.05,0.18,848,0.6000000000000001,160,3.8000000000000003
2019,1,1,4,30,6.7,0,0,0,0,5.7,0,0,0,0,0.25,93.25,117.2,0.2,854,1.3,267,1.3
2019,1,1,5,30,6,0,0,0,0,5.9,0,0,0,0,0.249,99.24000000000001,104.62,0.2,855,1.2000000000000002,280,1.4000000000000001
2019,1,1,6,30,6.9,0,0,0,0,6.2,0,0,0,0,0.249,95.08,92.49,0.2,855,1.2000000000000002,292,2
2019,1,1,7,30,9.5,59,364,116,0,6.6000000000000005,59,364,0,116,0.249,81.86,80.99,0.2,856,1.1,300,3.4000000000000004
2019,1,1,8,30,11.9,88,667,309,0,6.4,88,667,0,309,0.249,69.25,70.68,0.2,856,1.1,304,4.6000000000000005
2019,1,1,9,30,13.700000000000001,99,811,480,0,5.4,99,811,0,480,0.25,57.35,61.96,0.2,856,1,305,5
2019,1,1,10,30,15,106,873,599,3,4.5,270,231,0,400,0.25,49.31,55.64,0.2,855,1,306,5.4
2019,1,1,11,30,15.9,107,902,654,0,3.7,107,902,0,654,0.25,44.15,52.61,0.2,854,1,306,5.800000000000001
2019,1,1,12,30,16.1,104,905,643,0,3,104,905,0,643,0.249,41.54,53.44,0.2,854,0.9,308,6.1000000000000005
2019,1,1,13,30,15.700000000000001,99,871,561,0,2.4000000000000004,99,871,0,561,0.249,40.83,57.96,0.2,854,0.9,309,6.1000000000000005
2019,1,1,14,30,14.700000000000001,88,802,422,0,1.7000000000000002,88,802,0,422,0.25,41.480000000000004,65.4,0.2,854,0.8,312,5.9
2019,1,1,15,30,12.700000000000001,68,648,237,0,1.3,68,648,0,237,0.25,45.62,74.88,0.2,855,0.8,316,4.9
2019,1,1,16,30,10,30,260,50,0,1.2000000000000002,30,260,0,50,0.252,54.26,85.64,0.2,855,0.7000000000000001,323,3.3000000000000003
2019,1,1,17,30,7.9,0,0,0,0,1.5,0,0,0,0,0.254,64.08,97.55,0.2,856,0.7000000000000001,330,2.5
2019,1,1,18,30,6.7,0,0,0,0,1.9000000000000001,0,0,0,0,0.256,71.46000000000001,109.89,0.2,856,0.7000000000000001,336,2.3000000000000003
2019,1,1,19,30,5.7,0,0,0,0,2.3000000000000003,0,0,0,0,0.256,78.64,122.61,0.2,856,0.6000000000000001,341,2.1
2019,1,1,20,30,4.800000000000001,0,0,0,0,2.6,0,0,0,0,0.255,85.84,135.57,0.2,856,0.6000000000000001,346,1.9000000000000001
2019,1,1,21,30,4.1000000000000005,0,0,0,0,2.9000000000000004,0,0,0,0,0.253,91.95,148.62,0.2,856,0.6000000000000001,351,1.7000000000000002
2019,1,1,22,30,3.6,0,0,0,0,3.1,0,0,0,0,0.251,96.2,161.49,0.2,856,0.6000000000000001,179,1.5
2019,1,1,23,30,3.1,0,0,0,0,3,0,0,0,0,0.249,99.43,172.43,0.2,856,0.6000000000000001,7,1.4000000000000001
2019,1,2,0,30,2.7,0,0,0,0,2.7,0,0,0,0,0.248,100,168.49,0.2,856,0.6000000000000001,12,1.2000000000000002
2019,1,2,1,30,2.2,0,0,0,0,2.2,0,0,0,0,0.248,100,156.18,0.2,856,0.6000000000000001,17,1.2000000000000002
2019,1,2,2,30,1.8,0,0,0,0,1.8,0,0,0,0,0.249,100,143.18,0.2,856,0.5,24,1.2000000000000002
2019,1,2,3,30,1.6,0,0,0,0,1.3,0,0,0,0,0.249,97.81,130.15,0.2,856,0.5,27,1.2000000000000002
2019,1,2,4,30,1.2000000000000002,0,0,0,0,0.8,0,0,0,0,0.25,97.05,117.27,0.2,856,0.5,39,1.3
2019,1,2,5,30,1.1,0,0,0,0,0.4,0,0,0,0,0.251,95.07000000000001,104.68,0.2,856,0.5,48,1.3
