Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Latitude,Longitude
2017,1,1,0,30,3,0,0,0,0,-19.5,0,0,0,0,0.264,17.29,168.46,0.18,852,0.5,7,1.2,29.45,64.02
2017,1,1,1,30,2.6,0,0,0,0,-19.3,0,0,0,0,0.264,18.21,156.13,0.18,852,0.5,178,1.3,,
2017,1,1,2,30,2.1,0,0,0,0,-18.7,0,0,0,0,0.264,19.85,143.12,0.18,852,0.5,352,1.4,,
2017,1,1,3,30,1.9,0,0,0,0,-17.9,0,0,0,0,0.264,21.44,130.09,0.18,852,0.5,349,1.4,,
2017,1,1,4,30,8.8,0,0,0,0,-7.4,0,0,0,0,0.235,31.04,117.23,0.2,853,0.9,215,0.8,,
2017,1,1,5,30,8.8,0,0,0,0,-7.3,0,0,0,0,0.235,31.4,104.65,0.2,854,0.9,230,0.9,,
2017,1,1,6,30,9.7,0,0,0,0,-7.1,0,0,0,0,0.235,29.94,92.52,0.2,854,0.9,231,0.8,,
2017,1,1,7,30,12.6,44,527,127,0,-6.8,44,527,0,127,0.236,25.31,81.01,0.2,855,0.9,219,1,,
2017,1,1,8,30,16.2,68,767,321,0,-6.6,68,767,0,321,0.236,20.35,70.69,0.2,855,1,213,1.1,,
2017,1,1,9,30,19.1,81,871,490,0,-6.2,81,871,1,490,0.236,17.47,61.96,0.2,855,1,236,1.1,,
2017,1,1,10,30,20.9,89,919,608,0,-6.3,89,919,0,608,0.236,15.54,55.62,0.2,854,1,263,1.5,,
2017,1,1,11,30,22,93,936,661,0,-6.6,93,936,0,661,0.236,14.16,52.58,0.2,853,1,277,2,,
2017,1,1,12,30,22.5,93,924,644,1,-6.9,93,924,0,644,0.236,13.46,53.39,0.2,852,1.1,284,2.4,,
2017,1,1,13,30,22.5,93,877,559,1,-7,93,877,0,559,0.237,13.34,57.9,0.2,852,1.1,289,2.7,,
2017,1,1,14,30,21.9,83,804,419,3,-7,154,16,3,161,0.237,13.84,65.33,0.2,852,1.1,294,2.6,,
2017,1,1,15,30,19.4,65,651,236,3,-6.9,69,0,0,69,0.238,16.2,74.81,0.2,852,1.1,305,1.9,,
2017,1,1,16,30,16.1,29,267,50,3,-6.3,14,0,3,14,0.238,20.92,85.57,0.2,852,1.1,325,1.3,,
2017,1,1,17,30,14.3,0,0,0,7,-6.5,0,0,0,0,0.239,23.08,97.48,0.2,853,1,178,1.2,,
2017,1,1,18,30,13.4,0,0,0,7,-6.5,0,0,0,0,0.239,24.46,109.82,0.2,854,1,40,1.2,,
2017,1,1,19,30,12.5,0,0,0,7,-6.6,0,0,0,0,0.239,25.9,122.55,0.2,854,1,78,1.3,,
2017,1,1,20,30,11.7,0,0,0,7,-6.6,0,0,0,0,0.239,27.23,135.5,0.2,853,1,107,1.4,,
2017,1,1,21,30,11.1,0,0,0,1,-6.6,0,0,0,0,0.239,28.29,148.55,0.2,853,1,134,1.5,,
2017,1,1,22,30,10.5,0,0,0,0,-6.6,0,0,0,0,0.24,29.38,161.42,0.2,853,1,159,1.5,,
2017,1,1,23,30,9.7,0,0,0,0,-6.7,0,0,0,0,0.24,30.84,172.36,0.2,853,1,177,1.7,,
2017,1,2,0,30,8.9,0,0,0,0,-6.8,0,0,0,0,0.24,32.3,168.51,0.2,852,1,183,1.8,,
2017,1,2,1,30,8.3,0,0,0,0,-6.9,0,0,0,0,0.24,33.45,156.22,0.2,852,1,180,1.9,,
2017,1,2,2,30,7.8,0,0,0,0,-6.9,0,0,0,0,0.24,34.57,143.22,0.2,852,1.1,173,1.9,,
2017,1,2,3,30,7.6,0,0,0,0,-6.8,0,0,0,0,0.24,35.25,130.18,0.2,852,1.1,168,2,,
2017,1,2,4,30,7.1,0,0,0,7,-6.6,0,0,0,0,0.241,37.08,117.3,0.2,852,1.1,159,2.1,,
2017,1,2,5,30,6.9,0,0,0,7,-6.2,0,0,0,0,0.241,38.84,104.71,0.2,852,1.1,158,2.1,,
2017,1,2,6,30,8.4,0,0,0,7,-5.5,0,0,0,0,0.24,36.87,92.57,0.2,853,1.2,159,2.2,,
2017,1,2,7,30,12,46,488,122,7,-4.6,59,99,3,74,0.24,30.96,81.04,0.2,854,1.2,161,3.1,,
2017,1,2,8,30,15.7,71,738,315,7,-3.7,125,340,0,237,0.24,26.14,70.7,0.2,854,1.2,166,3.6,,
2017,1,2,9,30,18.9,85,846,483,7,-3.1,196,354,0,362,0.241,22.26,61.94,0.2,854,1.2,181,2.8,,
2017,1,2,10,30,21.1,94,901,603,7,-4.2,233,426,0,474,0.241,18,55.58,0.2,853,1.1,203,1.9,,
2017,1,2,11,30,22.4,100,914,656,7,-4.8,288,295,0,468,0.242,15.89,52.5,0.2,852,1.1,217,1.7,,
2017,1,2,12,30,23,101,909,644,7,-4.9,275,331,0,473,0.243,15.12,53.28,0.2,852,1,219,1.9,,
2017,1,2,13,30,23,97,872,562,7,-4.9,241,306,3,404,0.243,15.14,57.77,0.2,851,1,218,2.2,,
2017,1,2,14,30,22.3,86,802,422,3,-4.9,189,133,3,245,0.243,15.82,65.2,0.2,851,1,216,2.4,,
2017,1,2,15,30,19.7,67,657,240,3,-4.9,106,66,3,124,0.243,18.61,74.67,0.2,851,0.9,212,1.9,,
2017,1,2,16,30,16,31,268,52,1,-4.6,31,268,0,52,0.244,23.95,85.44,0.2,852,0.9,210,1.3,,
2017,1,2,17,30,14,0,0,0,1,-4.7,0,0,0,0,0.244,27.04,97.34,0.2,852,0.9,203,1.3,,
2017,1,2,18,30,12.9,0,0,0,0,-4.7,0,0,0,0,0.244,29.08,109.69,0.2,853,0.9,188,1.4,,
2017,1,2,19,30,11.7,0,0,0,3,-4.7,0,0,0,0,0.245,31.45,122.41,0.2,853,0.9,174,1.6,,
2017,1,2,20,30,10.6,0,0,0,0,-4.7,0,0,0,0,0.245,33.84,135.37,0.2,852,0.8,165,1.9,,
