Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2856897,-,-,-,29.45,64.02,4,1558,4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,0,30,8.3,0,0,0,4,5.300000000000001,0,0,0,0,0.247,81.42,168.45000000000002,0.18,855,1.6,255,0.9
2018,1,1,1,30,7.9,0,0,0,0,5.800000000000001,0,0,0,0,0.248,86.38,156.11,0.18,854,1.5,241,0.8
2018,1,1,2,30,7.5,0,0,0,0,5.7,0,0,0,0,0.25,88.64,143.1,0.18,854,1.4000000000000001,243,1
2018,1,1,3,30,7.4,0,0,0,1,5.6000000000000005,0,0,0,0,0.25,88.63,130.07,0.18,854,1.4000000000000001,248,1.1
2018,1,1,4,30,1.5,0,0,0,0,-17.3,0,0,0,0,0.263,23.26,117.22,0.2,852,0.4,346,1.4000000000000001
2018,1,1,5,30,1.3,0,0,0,0,-17,0,0,0,0,0.262,24.150000000000002,104.63,0.2,852,0.4,347,1.4000000000000001
2018,1,1,6,30,2.9000000000000004,0,0,0,0,-17,0,0,0,0,0.262,21.6,92.51,0.2,853,0.4,349,1.5
2018,1,1,7,30,6.7,37,659,140,0,-17,37,659,0,140,0.262,16.580000000000002,81,0.2,853,0.4,351,2.1
2018,1,1,8,30,10.4,54,876,344,0,-16.900000000000002,54,876,0,344,0.262,12.98,70.68,0.2,853,0.4,349,2.9000000000000004
2018,1,1,9,30,13,63,966,518,0,-15.8,63,966,0,518,0.262,12.030000000000001,61.96,0.2,853,0.4,345,3.1
2018,1,1,10,30,14.8,71,1003,637,0,-15.600000000000001,71,1003,0,637,0.261,10.82,55.63,0.2,852,0.4,344,3.3000000000000003
2018,1,1,11,30,16.2,74,1031,700,0,-15.600000000000001,74,1031,0,700,0.26,9.96,52.59,0.2,851,0.30000000000000004,344,3.6
2018,1,1,12,30,16.900000000000002,73,1027,685,0,-15.5,73,1027,0,685,0.258,9.540000000000001,53.410000000000004,0.2,851,0.30000000000000004,344,3.7
2018,1,1,13,30,16.900000000000002,69,1001,601,0,-15.700000000000001,69,1001,0,601,0.257,9.39,57.93,0.2,850,0.30000000000000004,343,3.6
2018,1,1,14,30,16.2,62,942,455,0,-16,62,942,0,455,0.255,9.59,65.37,0.2,850,0.30000000000000004,343,3.3000000000000003
