Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2788265,-,-,-,34.29,60.9,4,1128,4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,0,30,3.2,0,0,0,7,2.4000000000000004,0,0,0,0,0.292,94.53,166.93,0.24,894,1.5,62,1.1
2018,1,1,1,30,3,0,0,0,7,2.4000000000000004,0,0,0,0,0.289,95.88,157.28,0.24,894,1.5,50,0.9
2018,1,1,2,30,3,0,0,0,4,2.5,0,0,0,0,0.28700000000000003,96.32000000000001,145.37,0.24,894,1.5,41,0.8
2018,1,1,3,30,3,0,0,0,0,2.5,0,0,0,0,0.28700000000000003,96.49000000000001,133.02,0.24,894,1.4000000000000001,40,0.8
2018,1,1,4,30,2.2,0,0,0,0,-12,0,0,0,0,0.265,34.28,120.7,0.23,893,0.5,36,1.2000000000000002
2018,1,1,5,30,2,0,0,0,0,-12,0,0,0,0,0.264,34.550000000000004,108.59,0.23,893,0.5,38,1.2000000000000002
2018,1,1,6,30,2.2,0,0,0,0,-12.100000000000001,0,0,0,0,0.263,33.8,96.91,0.23,894,0.5,40,1.1
2018,1,1,7,30,4,25,405,55,0,-11.9,25,405,0,55,0.262,30.27,85.74,0.23,894,0.5,54,1.1
2018,1,1,8,30,6.9,50,752,234,0,-11.200000000000001,50,752,0,234,0.262,26.26,75.86,0.23,894,0.5,76,1.3
2018,1,1,9,30,9.9,63,884,402,0,-12,63,884,0,402,0.263,20.150000000000002,67.41,0.23,894,0.5,109,1.2000000000000002
